datetime,wind speed at 100m (m/s)
2012-01-01 00:00:00,10.04
2012-01-01 00:10:00,10.37
2012-01-01 00:20:00,11.209
2012-01-01 00:30:00,11.862
2012-01-01 00:40:00,11.627
2012-01-01 00:50:00,11.603
2012-01-01 01:00:00,11.935
2012-01-01 01:10:00,12.222
2012-01-01 01:20:00,11.81
2012-01-01 01:30:00,11.297
2012-01-01 01:40:00,10.925
2012-01-01 01:50:00,10.815
2012-01-01 02:00:00,10.834
2012-01-01 02:10:00,10.776
2012-01-01 02:20:00,10.852
2012-01-01 02:30:00,11.056
2012-01-01 02:40:00,10.965
2012-01-01 02:50:00,10.956
2012-01-01 03:00:00,11.099
2012-01-01 03:10:00,10.785
2012-01-01 03:20:00,10.592
2012-01-01 03:30:00,10.882
2012-01-01 03:40:00,11.307
2012-01-01 03:50:00,11.56
2012-01-01 04:00:00,11.502
2012-01-01 04:10:00,11.401
2012-01-01 04:20:00,11.374
2012-01-01 04:30:00,11.215
2012-01-01 04:40:00,10.989
2012-01-01 04:50:00,11.029
2012-01-01 05:00:00,11.331
2012-01-01 05:10:00,11.291
2012-01-01 05:20:00,10.834
2012-01-01 05:30:00,10.843
2012-01-01 05:40:00,11.185
2012-01-01 05:50:00,11.505
2012-01-01 06:00:00,11.743
2012-01-01 06:10:00,12.03
2012-01-01 06:20:00,12.067
2012-01-01 06:30:00,11.978
2012-01-01 06:40:00,11.984
2012-01-01 06:50:00,11.883
2012-01-01 07:00:00,11.734
2012-01-01 07:10:00,11.536
2012-01-01 07:20:00,11.453
2012-01-01 07:30:00,11.572
2012-01-01 07:40:00,11.81
2012-01-01 07:50:00,11.78
2012-01-01 08:00:00,11.627
2012-01-01 08:10:00,11.499
2012-01-01 08:20:00,11.612
2012-01-01 08:30:00,11.993
2012-01-01 08:40:00,12.216
2012-01-01 08:50:00,12.198
2012-01-01 09:00:00,12.292
2012-01-01 09:10:00,12.521
2012-01-01 09:20:00,12.469
2012-01-01 09:30:00,12.378
2012-01-01 09:40:00,12.436
2012-01-01 09:50:00,12.555
2012-01-01 10:00:00,12.604
2012-01-01 10:10:00,12.387
2012-01-01 10:20:00,12.189
2012-01-01 10:30:00,12.195
2012-01-01 10:40:00,12.375
2012-01-01 10:50:00,12.707
2012-01-01 11:00:00,12.949
2012-01-01 11:10:00,12.967
2012-01-01 11:20:00,13.028
2012-01-01 11:30:00,13.11
2012-01-01 11:40:00,13.245
2012-01-01 11:50:00,13.47
2012-01-01 12:00:00,13.553
2012-01-01 12:10:00,13.534
2012-01-01 12:20:00,13.397
2012-01-01 12:30:00,13.318
2012-01-01 12:40:00,13.443
2012-01-01 12:50:00,13.428
2012-01-01 13:00:00,13.357
2012-01-01 13:10:00,13.498
2012-01-01 13:20:00,13.409
2012-01-01 13:30:00,13.513
2012-01-01 13:40:00,13.678
2012-01-01 13:50:00,13.855
2012-01-01 14:00:00,13.931
2012-01-01 14:10:00,13.739
2012-01-01 14:20:00,13.51
2012-01-01 14:30:00,13.269
2012-01-01 14:40:00,12.875
2012-01-01 14:50:00,12.656
2012-01-01 15:00:00,12.772
2012-01-01 15:10:00,12.649
2012-01-01 15:20:00,12.823
2012-01-01 15:30:00,12.955
2012-01-01 15:40:00,12.991
2012-01-01 15:50:00,13.19
2012-01-01 16:00:00,13.214
2012-01-01 16:10:00,13.238
2012-01-01 16:20:00,13.11
2012-01-01 16:30:00,12.887
2012-01-01 16:40:00,12.848
2012-01-01 16:50:00,12.744
2012-01-01 17:00:00,12.631
2012-01-01 17:10:00,12.466
2012-01-01 17:20:00,12.396
2012-01-01 17:30:00,12.125
2012-01-01 17:40:00,11.764
2012-01-01 17:50:00,11.447
2012-01-01 18:00:00,11.291
2012-01-01 18:10:00,11.032
2012-01-01 18:20:00,10.672
2012-01-01 18:30:00,10.489
2012-01-01 18:40:00,10.415
2012-01-01 18:50:00,10.293
2012-01-01 19:00:00,10.092
2012-01-01 19:10:00,10.336
2012-01-01 19:20:00,10.275
2012-01-01 19:30:00,10.144
2012-01-01 19:40:00,10.098
2012-01-01 19:50:00,10.058
2012-01-01 20:00:00,9.988
2012-01-01 20:10:00,9.75
2012-01-01 20:20:00,9.543
2012-01-01 20:30:00,9.244
2012-01-01 20:40:00,9.134
2012-01-01 20:50:00,8.984
2012-01-01 21:00:00,8.966
2012-01-01 21:10:00,8.856
2012-01-01 21:20:00,8.871
2012-01-01 21:30:00,8.743
2012-01-01 21:40:00,8.59
2012-01-01 21:50:00,8.301
2012-01-01 22:00:00,8.117
2012-01-01 22:10:00,8.124
2012-01-01 22:20:00,7.864
2012-01-01 22:30:00,7.776
2012-01-01 22:40:00,7.708
2012-01-01 22:50:00,7.336
2012-01-01 23:00:00,7.019
2012-01-01 23:10:00,7.132
2012-01-01 23:20:00,7.257
2012-01-01 23:30:00,7.141
2012-01-01 23:40:00,6.973
2012-01-01 23:50:00,6.933
2012-01-02 00:00:00,6.827
2012-01-02 00:10:00,6.912
2012-01-02 00:20:00,7.019
2012-01-02 00:30:00,7.104
2012-01-02 00:40:00,7.019
2012-01-02 00:50:00,6.903
2012-01-02 01:00:00,6.585
2012-01-02 01:10:00,6.527
2012-01-02 01:20:00,6.347
2012-01-02 01:30:00,6.268
2012-01-02 01:40:00,6.125
2012-01-02 01:50:00,6.134
2012-01-02 02:00:00,6.149
2012-01-02 02:10:00,5.987
2012-01-02 02:20:00,5.798
2012-01-02 02:30:00,5.74
2012-01-02 02:40:00,5.52
2012-01-02 02:50:00,5.377
2012-01-02 03:00:00,5.276
2012-01-02 03:10:00,5.23
2012-01-02 03:20:00,5.044
2012-01-02 03:30:00,4.852
2012-01-02 03:40:00,4.828
2012-01-02 03:50:00,4.815
2012-01-02 04:00:00,4.632
2012-01-02 04:10:00,4.657
2012-01-02 04:20:00,4.434
2012-01-02 04:30:00,4.303
2012-01-02 04:40:00,4.174
2012-01-02 04:50:00,3.991
2012-01-02 05:00:00,4.052
2012-01-02 05:10:00,4.0
2012-01-02 05:20:00,3.515
2012-01-02 05:30:00,3.607
2012-01-02 05:40:00,2.975
2012-01-02 05:50:00,3.219
2012-01-02 06:00:00,3.445
2012-01-02 06:10:00,3.375
2012-01-02 06:20:00,3.289
2012-01-02 06:30:00,3.735
2012-01-02 06:40:00,3.43
2012-01-02 06:50:00,3.143
2012-01-02 07:00:00,3.122
2012-01-02 07:10:00,3.305
2012-01-02 07:20:00,3.384
2012-01-02 07:30:00,2.874
2012-01-02 07:40:00,2.459
2012-01-02 07:50:00,2.322
2012-01-02 08:00:00,2.792
2012-01-02 08:10:00,2.429
2012-01-02 08:20:00,2.587
2012-01-02 08:30:00,2.639
2012-01-02 08:40:00,3.216
2012-01-02 08:50:00,2.981
2012-01-02 09:00:00,3.164
2012-01-02 09:10:00,3.433
2012-01-02 09:20:00,3.219
2012-01-02 09:30:00,3.143
2012-01-02 09:40:00,3.088
2012-01-02 09:50:00,2.96
2012-01-02 10:00:00,3.1
2012-01-02 10:10:00,2.975
2012-01-02 10:20:00,2.316
2012-01-02 10:30:00,2.27
2012-01-02 10:40:00,2.084
2012-01-02 10:50:00,1.773
2012-01-02 11:00:00,1.617
2012-01-02 11:10:00,1.309
2012-01-02 11:20:00,1.217
2012-01-02 11:30:00,0.936
2012-01-02 11:40:00,1.092
2012-01-02 11:50:00,1.715
2012-01-02 12:00:00,1.767
2012-01-02 12:10:00,1.91
2012-01-02 12:20:00,2.175
2012-01-02 12:30:00,1.84
2012-01-02 12:40:00,2.06
2012-01-02 12:50:00,2.438
2012-01-02 13:00:00,2.13
2012-01-02 13:10:00,2.328
2012-01-02 13:20:00,2.612
2012-01-02 13:30:00,2.832
2012-01-02 13:40:00,2.877
2012-01-02 13:50:00,3.094
2012-01-02 14:00:00,3.485
2012-01-02 14:10:00,3.949
2012-01-02 14:20:00,3.253
2012-01-02 14:30:00,3.277
2012-01-02 14:40:00,3.637
2012-01-02 14:50:00,3.759
2012-01-02 15:00:00,3.982
2012-01-02 15:10:00,4.638
2012-01-02 15:20:00,4.986
2012-01-02 15:30:00,5.517
2012-01-02 15:40:00,6.17
2012-01-02 15:50:00,6.796
2012-01-02 16:00:00,6.79
2012-01-02 16:10:00,6.936
2012-01-02 16:20:00,7.327
2012-01-02 16:30:00,7.58
2012-01-02 16:40:00,7.504
2012-01-02 16:50:00,7.55
2012-01-02 17:00:00,7.522
2012-01-02 17:10:00,7.437
2012-01-02 17:20:00,7.559
2012-01-02 17:30:00,7.614
2012-01-02 17:40:00,7.797
2012-01-02 17:50:00,7.846
2012-01-02 18:00:00,7.852
2012-01-02 18:10:00,7.885
2012-01-02 18:20:00,7.846
2012-01-02 18:30:00,8.099
2012-01-02 18:40:00,7.907
2012-01-02 18:50:00,7.339
2012-01-02 19:00:00,7.11
2012-01-02 19:10:00,7.04
2012-01-02 19:20:00,7.327
2012-01-02 19:30:00,7.223
2012-01-02 19:40:00,7.077
2012-01-02 19:50:00,7.364
2012-01-02 20:00:00,6.875
2012-01-02 20:10:00,6.86
2012-01-02 20:20:00,7.095
2012-01-02 20:30:00,7.556
2012-01-02 20:40:00,7.87
2012-01-02 20:50:00,7.672
2012-01-02 21:00:00,7.709
2012-01-02 21:10:00,7.44
2012-01-02 21:20:00,7.199
2012-01-02 21:30:00,7.165
2012-01-02 21:40:00,7.382
2012-01-02 21:50:00,7.779
2012-01-02 22:00:00,7.666
2012-01-02 22:10:00,7.357
2012-01-02 22:20:00,6.75
2012-01-02 22:30:00,6.653
2012-01-02 22:40:00,6.164
2012-01-02 22:50:00,5.069
2012-01-02 23:00:00,5.026
2012-01-02 23:10:00,5.459
2012-01-02 23:20:00,5.523
2012-01-02 23:30:00,5.115
2012-01-02 23:40:00,5.911
2012-01-02 23:50:00,5.981
2012-01-03 00:00:00,5.615
2012-01-03 00:10:00,5.417
2012-01-03 00:20:00,6.644
2012-01-03 00:30:00,6.845
2012-01-03 00:40:00,6.552
2012-01-03 00:50:00,5.768
2012-01-03 01:00:00,5.578
2012-01-03 01:10:00,5.966
2012-01-03 01:20:00,6.1
2012-01-03 01:30:00,6.384
2012-01-03 01:40:00,5.346
2012-01-03 01:50:00,4.675
2012-01-03 02:00:00,4.403
2012-01-03 02:10:00,4.51
2012-01-03 02:20:00,3.628
2012-01-03 02:30:00,2.664
2012-01-03 02:40:00,2.633
2012-01-03 02:50:00,2.755
2012-01-03 03:00:00,2.847
2012-01-03 03:10:00,2.816
2012-01-03 03:20:00,2.487
2012-01-03 03:30:00,2.298
2012-01-03 03:40:00,1.879
2012-01-03 03:50:00,1.37
2012-01-03 04:00:00,0.943
2012-01-03 04:10:00,0.65
2012-01-03 04:20:00,0.549
2012-01-03 04:30:00,0.598
2012-01-03 04:40:00,0.503
2012-01-03 04:50:00,0.555
2012-01-03 05:00:00,0.857
2012-01-03 05:10:00,1.162
2012-01-03 05:20:00,1.47
2012-01-03 05:30:00,1.519
2012-01-03 05:40:00,1.559
2012-01-03 05:50:00,1.55
2012-01-03 06:00:00,1.876
2012-01-03 06:10:00,1.657
2012-01-03 06:20:00,1.739
2012-01-03 06:30:00,1.596
2012-01-03 06:40:00,1.989
2012-01-03 06:50:00,1.84
2012-01-03 07:00:00,1.898
2012-01-03 07:10:00,1.721
2012-01-03 07:20:00,1.4
2012-01-03 07:30:00,1.071
2012-01-03 07:40:00,0.991
2012-01-03 07:50:00,0.839
2012-01-03 08:00:00,0.717
2012-01-03 08:10:00,0.866
2012-01-03 08:20:00,1.309
2012-01-03 08:30:00,1.516
2012-01-03 08:40:00,1.712
2012-01-03 08:50:00,1.962
2012-01-03 09:00:00,2.087
2012-01-03 09:10:00,1.773
2012-01-03 09:20:00,1.806
2012-01-03 09:30:00,1.821
2012-01-03 09:40:00,1.84
2012-01-03 09:50:00,2.301
2012-01-03 10:00:00,2.172
2012-01-03 10:10:00,1.782
2012-01-03 10:20:00,1.617
2012-01-03 10:30:00,1.358
2012-01-03 10:40:00,1.355
2012-01-03 10:50:00,1.245
2012-01-03 11:00:00,1.565
2012-01-03 11:10:00,1.541
2012-01-03 11:20:00,1.608
2012-01-03 11:30:00,1.663
2012-01-03 11:40:00,1.98
2012-01-03 11:50:00,2.243
2012-01-03 12:00:00,2.023
2012-01-03 12:10:00,2.343
2012-01-03 12:20:00,1.992
2012-01-03 12:30:00,1.574
2012-01-03 12:40:00,1.663
2012-01-03 12:50:00,1.391
2012-01-03 13:00:00,1.281
2012-01-03 13:10:00,1.266
2012-01-03 13:20:00,1.3
2012-01-03 13:30:00,1.501
2012-01-03 13:40:00,1.892
2012-01-03 13:50:00,1.623
2012-01-03 14:00:00,1.51
2012-01-03 14:10:00,1.513
2012-01-03 14:20:00,1.904
2012-01-03 14:30:00,2.169
2012-01-03 14:40:00,2.23
2012-01-03 14:50:00,2.417
2012-01-03 15:00:00,2.346
2012-01-03 15:10:00,2.575
2012-01-03 15:20:00,2.877
2012-01-03 15:30:00,3.299
2012-01-03 15:40:00,3.363
2012-01-03 15:50:00,3.308
2012-01-03 16:00:00,3.17
2012-01-03 16:10:00,3.338
2012-01-03 16:20:00,3.024
2012-01-03 16:30:00,2.746
2012-01-03 16:40:00,2.984
2012-01-03 16:50:00,3.082
2012-01-03 17:00:00,3.424
2012-01-03 17:10:00,3.454
2012-01-03 17:20:00,3.448
2012-01-03 17:30:00,3.424
2012-01-03 17:40:00,3.585
2012-01-03 17:50:00,3.665
2012-01-03 18:00:00,3.686
2012-01-03 18:10:00,3.659
2012-01-03 18:20:00,3.628
2012-01-03 18:30:00,3.75
2012-01-03 18:40:00,3.729
2012-01-03 18:50:00,3.546
2012-01-03 19:00:00,3.469
2012-01-03 19:10:00,3.573
2012-01-03 19:20:00,3.701
2012-01-03 19:30:00,3.772
2012-01-03 19:40:00,3.872
2012-01-03 19:50:00,3.884
