true_value,predict
9.115,9.476735
8.618,9.0060425
8.762,8.82124
8.755,8.682474
9.097,9.055908
9.842,9.373635
10.434,10.007779
10.531,10.369459
10.531,10.691752
10.586,10.662683
10.653,10.776023
10.699,10.743324
10.733,10.822734
10.724,10.731909
10.69,10.762867
10.623,10.650063
10.571,10.654282
10.537,10.546853
10.565,10.603159
10.617,10.583477
10.721,10.727226
10.797,10.774162
10.898,10.944458
11.001,10.98332
11.081,11.081277
10.983,10.972378
10.635,10.809041
10.104,10.423621
9.771,10.122521
9.878,9.923732
10.238,10.04218
10.54,10.263458
10.659,10.524374
10.672,10.63904
10.65,10.712442
10.656,10.728868
10.726,10.796276
10.9,10.883618
11.059,11.039003
11.245,11.184693
11.334,11.31233
11.3,11.313938
11.111,11.252894
10.855,11.038856
10.717,10.899117
10.635,10.724235
10.824,10.778496
10.943,10.799916
10.977,10.962791
11.138,11.03006
11.224,11.177172
11.251,11.276677
11.514,11.500451
11.929,11.723861
12.252,12.096986
12.454,12.375649
12.668,12.664653
12.906,12.834502
13.058,13.053861
13.129,13.131866
13.138,13.212823
13.095,13.149362
13.058,13.174379
13.064,13.102868
13.162,13.193472
13.235,13.187828
13.37,13.343747
13.345,13.318563
13.309,13.403221
13.254,13.305097
13.257,13.34314
13.275,13.280416
13.306,13.338767
13.303,13.304922
13.275,13.343654
13.312,13.322263
13.333,13.367796
13.373,13.381223
13.443,13.442473
13.443,13.453368
13.434,13.493537
13.486,13.493086
13.473,13.523111
13.495,13.541219
13.605,13.594666
13.635,13.625135
13.623,13.672993
13.623,13.665162
13.611,13.662424
13.614,13.652321
13.599,13.648093
13.605,13.642699
13.596,13.640568
13.638,13.65026
13.644,13.661997
13.614,13.6594715
13.605,13.659801
13.599,13.640895
13.623,13.660594
13.635,13.657837
13.65,13.677372
13.595,13.651521
13.541,13.627291
13.525,13.580827
13.47,13.533036
13.428,13.487188
13.321,13.406621
13.251,13.332466
13.177,13.241231
13.101,13.166911
13.025,13.092719
12.955,13.025144
12.927,12.986569
12.973,12.968027
12.97,12.978737
12.909,12.961472
12.89,12.955448
12.894,12.916287
12.89,12.931128
12.851,12.898225
12.839,12.905755
12.814,12.862137
12.829,12.876484
12.802,12.832967
12.686,12.800233
12.604,12.699921
12.524,12.6070795
12.39,12.467933
12.195,12.328795
12.005,12.131368
11.862,11.979795
11.773,11.835202
11.731,11.7835045
11.719,11.732417
11.767,11.761332
11.789,11.755719
11.731,11.783057
11.673,11.735313
11.657,11.727754
11.63,11.683898
11.682,11.718121
11.691,11.700212
11.636,11.716191
11.596,11.661335
11.554,11.60703
11.401,11.490362
11.172,11.345671
11.044,11.166198
10.937,11.007083
10.769,10.878344
10.657,10.766164
10.635,10.68484
10.617,10.621866
10.531,10.578829
10.327,10.443423
10.132,10.292866
9.897,10.059273
9.744,9.888045
9.561,9.663842
9.366,9.493616
9.174,9.268831
8.945,9.07775
8.743,8.856705
8.597,8.693717
8.456,8.525718
8.395,8.445169
8.353,8.353886
8.292,8.3344
8.264,8.2851
8.237,8.295723
8.285,8.275519
8.359,8.338735
8.285,8.304501
8.252,8.348566
8.194,8.261907
8.313,8.338742
8.389,8.324644
8.401,8.430732
8.337,8.389587
8.313,8.422139
8.353,8.379998
8.435,8.441667
8.411,8.417625
8.319,8.412217
8.16,8.296019
8.096,8.218754
8.087,8.128387
8.011,8.075043
7.919,8.006445
7.837,7.9101114
7.761,7.820433
7.632,7.702614
7.501,7.597823
7.391,7.4682035
7.33,7.40786
7.4,7.3873034
7.538,7.472629
7.632,7.5640483
7.748,7.70912
7.846,7.7913084
7.879,7.9085
7.901,7.9717407
8.072,8.106685
8.346,8.242042
8.493,8.433981
8.493,8.5156555
8.407,8.534034
8.316,8.431136
8.23,8.36879
8.169,8.256662
8.172,8.245814
8.221,8.189961
8.243,8.247144
8.16,8.192878
8.148,8.238588
8.191,8.178458
8.279,8.284667
8.316,8.282886
8.362,8.412884
8.41,8.410127
8.557,8.566068
8.661,8.601364
8.731,8.759149
8.74,8.753145
8.746,8.840549
8.801,8.815916
8.914,8.920389
8.981,8.934085
8.996,9.04238
9.076,9.051625
9.18,9.180583
9.262,9.253272
9.488,9.483941
9.796,9.657492
10.074,9.971184
10.184,10.130506
10.199,10.303103
10.184,10.281799
10.208,10.33347
10.177,10.265378
10.202,10.28029
10.135,10.155922
9.857,10.048962
9.607,9.820105
9.57,9.663812
9.537,9.521618
9.399,9.476574
9.351,9.410025
9.396,9.405928
9.491,9.444577
9.567,9.539438
9.546,9.584708
9.5,9.608003
9.506,9.584833
9.503,9.552888
9.36,9.459707
9.052,9.274925
8.783,9.014631
8.533,8.725533
8.322,8.465998
8.185,8.228963
7.919,7.9861555
7.623,7.7390547
7.443,7.532284
7.361,7.403979
7.532,7.4880743
7.995,7.708101
8.481,8.104629
8.49,8.404408
8.505,8.666928
8.853,8.806295
9.143,9.047481
9.271,9.236774
9.366,9.371112
9.109,9.280531
8.844,9.196944
8.966,9.07171
9.213,9.101475
9.069,9.096729
8.914,9.042804
8.697,8.808222
8.218,8.519304
7.946,8.255252
8.044,8.033718
8.12,7.965135
7.766,7.856153
7.528,7.740831
7.605,7.5722146
