true_value,predict
5.981,5.7719193
6.155,5.846654
5.908,5.8794575
5.7,5.7215137
5.557,5.5276403
5.349,5.3763456
5.301,5.256111
5.276,5.239168
5.234,5.2586613
5.221,5.263301
5.197,5.245507
5.166,5.201742
5.087,5.1350255
5.115,5.0768285
5.047,5.0677433
5.008,5.0620027
5.057,5.072113
5.081,5.1042857
5.014,5.093839
4.995,5.0415115
4.95,4.999377
4.947,4.9735355
4.87,4.95601
4.901,4.9190135
4.941,4.890645
4.699,4.8376193
4.596,4.713748
4.657,4.6801367
4.605,4.7213907
4.611,4.727043
4.678,4.722906
4.712,4.719604
4.767,4.70058
4.745,4.720441
4.825,4.7813053
4.983,4.9134426
5.041,5.0320435
5.053,5.028224
4.931,4.896432
4.669,4.6811924
4.458,4.473409
4.458,4.4122105
4.596,4.5168533
4.791,4.6927605
4.837,4.824873
4.794,4.8511896
4.864,4.8321304
4.968,4.878112
5.06,4.961328
5.188,5.0582366
5.209,5.1532187
5.249,5.2201066
5.349,5.3030767
5.475,5.441634
5.563,5.603021
5.713,5.7575283
5.862,5.890481
5.917,5.9650774
5.92,5.9594746
5.884,5.945749
5.938,5.9787793
6.106,6.114979
6.225,6.307562
6.35,6.4606733
6.347,6.5291452
6.296,6.484264
6.296,6.3769245
6.18,6.2872486
6.128,6.208105
6.128,6.2121925
6.131,6.268426
6.265,6.3281517
6.207,6.3587556
6.115,6.2722216
6.097,6.128557
5.996,6.0024652
5.862,5.8566117
5.758,5.728185
5.606,5.630693
5.432,5.52922
5.426,5.4178715
5.301,5.331051
5.185,5.1867476
5.081,5.0432167
5.041,4.939522
5.008,4.899482
4.995,4.8923264
4.998,4.9064255
5.038,4.914854
4.992,4.9101877
4.956,4.8598514
5.041,4.828804
4.956,4.84128
4.995,4.847947
5.087,4.913669
5.13,5.01098
5.194,5.067475
5.24,5.112644
5.191,5.136038
5.246,5.1441364
5.42,5.195027
5.404,5.285448
5.24,5.312064
5.313,5.3329344
5.374,5.4397955
5.365,5.530983
5.481,5.572575
5.371,5.635124
5.517,5.674965
5.737,5.8424454
5.92,6.081505
6.1,6.314703
6.237,6.5111494
6.347,6.629219
6.561,6.649022
6.329,6.5827417
6.167,6.338001
5.923,6.123558
5.59,5.9346395
5.474,5.7527666
5.172,5.586908
4.891,5.2896156
4.629,4.896864
4.278,4.484333
4.119,4.111805
3.851,3.9001937
3.872,3.7702744
3.899,3.7254748
3.753,3.585609
3.277,3.2272592
2.859,2.673216
2.45,2.1221905
1.971,1.643432
1.293,1.2544734
1.226,0.9746311
1.254,0.9363103
1.479,0.94935226
1.324,0.9330454
0.436,0.7970419
1.294,0.7475097
1.736,1.2738338
1.892,1.6750079
1.861,1.7996371
1.99,1.880716
2.307,2.133554
2.682,2.6461248
3.549,3.355677
4.339,4.22445
4.815,4.892308
5.008,5.1819363
5.066,5.1928663
4.946,5.1031857
4.916,5.009837
4.925,5.0100317
4.824,5.050017
4.831,5.046338
4.531,5.00772
4.416,4.8642244
4.449,4.7503967
4.589,4.68187
4.431,4.58852
4.217,4.4057975
4.205,4.27286
4.281,4.309073
4.379,4.4390736
4.489,4.586398
4.861,4.7169814
4.809,4.842374
4.571,4.78318
5.111,4.7398996
4.864,4.9232664
4.934,4.9336853
5.163,5.0313406
5.017,5.2016573
4.971,5.232086
5.389,5.31312
5.499,5.521813
5.624,5.639353
6.146,5.7975035
6.302,6.1133375
6.421,6.344545
6.555,6.5445023
6.567,6.6939907
6.674,6.685747
6.872,6.5604525
6.826,6.379404
6.897,6.226035
6.665,6.327156
6.979,6.650512
7.507,7.252067
7.626,7.7418647
7.534,7.699189
7.342,7.236267
7.287,6.746764
7.196,6.642275
7.431,7.1378374
8.786,8.349505
10.482,10.117912
11.877,11.686668
12.332,12.404722
12.216,12.274032
12.335,11.998477
12.378,12.15795
12.936,12.749802
13.644,13.72455
14.157,14.658537
14.841,15.203051
14.905,15.404204
15.036,15.332205
15.47,15.428503
15.808,15.819456
15.738,16.198069
15.619,16.294868
15.54,16.080917
15.18,15.634407
14.731,15.095346
14.639,14.808392
14.902,15.006225
15.473,15.532513
15.799,16.021318
15.451,15.954624
14.734,15.115843
14.017,13.955648
12.887,12.98136
11.777,12.263431
13.653,12.110258
13.184,12.801247
12.231,12.68198
11.81,12.126422
11.935,11.720597
11.944,11.263695
11.444,10.553332
9.115,9.559207
9.011,8.473411
8.328,8.359155
8.642,8.490469
8.99,8.819868
8.676,9.111454
8.697,9.087809
9.9,9.225183
10.498,9.757058
10.537,10.134966
10.721,10.429439
11.102,10.849525
11.633,11.249014
11.608,11.418182
10.287,11.043993
10.125,10.171556
10.293,9.674799
8.789,9.2849
8.011,8.607694
8.264,8.469334
9.027,8.847213
9.112,9.124886
9.405,8.952623
8.889,8.765297
7.361,8.500482
8.914,8.37549
10.119,9.170231
9.341,9.492518
8.139,8.769505
8.773,8.185951
8.554,8.547483
9.008,9.130882
10.421,10.106312
10.888,11.159855
11.233,11.362711
10.806,10.968292
10.473,10.402157
10.174,10.218882
10.68,10.554644
11.66,11.383837
12.063,12.169598
12.038,12.286043
11.12,11.773336
11.08,11.056164
10.555,10.767584
11.541,10.714127
10.781,11.024165
10.433,10.825793
10.189,10.581146
10.003,10.399352
10.348,10.245765
10.61,10.326498
10.504,10.463557
10.861,10.613016
11.221,10.946066
11.318,11.218238
