true_value,predict
10.602,5.1088667
10.849,5.4559674
11.145,5.555098
11.987,5.9097333
12.188,5.887814
11.09,5.5357256
10.287,5.1607676
10.327,4.9690638
10.84,5.0019336
11.118,5.069014
10.617,4.881139
10.462,4.8306456
10.315,4.7010384
10.382,4.806555
10.672,4.998969
10.882,5.2262855
11.191,5.6109204
11.752,5.8664927
12.005,6.247922
11.767,6.24218
12.216,6.494892
12.106,6.439696
11.532,6.3530283
11.758,6.442416
11.767,6.3606434
11.676,6.5711937
11.862,6.4772096
12.124,6.759897
11.734,6.4712515
11.725,6.565404
11.401,6.187597
10.8,6.0098324
10.498,5.6983185
10.498,5.525775
10.3,5.374092
9.671,5.0721884
9.531,4.993619
9.558,4.875832
9.424,4.93027
9.39,4.906699
9.43,4.993741
9.393,4.998163
9.363,5.0575037
9.213,4.9925284
9.106,4.9797153
8.917,4.9105573
8.78,4.868095
8.844,4.888308
8.823,4.86647
8.713,4.8696184
8.585,4.803334
8.45,4.7810154
8.499,4.769222
8.554,4.7865143
8.505,4.7492747
8.334,4.6920424
8.179,4.599334
8.148,4.5771985
8.264,4.5756507
8.289,4.6097174
8.228,4.6064596
8.273,4.6420856
8.337,4.710286
8.398,4.798069
8.74,4.982114
8.942,5.100531
8.99,5.2318306
9.07,5.270369
9.277,5.3579454
9.381,5.347988
9.323,5.3208265
9.1,5.1821275
9.094,5.140766
9.195,5.125469
9.405,5.1820064
9.604,5.256078
9.653,5.260413
9.732,5.2968454
9.79,5.256675
9.805,5.264983
9.872,5.231264
9.979,5.251791
10.068,5.251943
10.141,5.279291
10.281,5.3062763
10.41,5.3556156
10.532,5.3901334
10.666,5.4372845
10.745,5.455818
10.843,5.4854546
10.934,5.5106487
11.005,5.535601
11.173,5.591773
11.285,5.6375113
11.404,5.6799335
11.551,5.73314
11.581,5.725434
11.661,5.755979
11.731,5.7235966
11.725,5.7315993
11.746,5.687259
11.832,5.7195063
11.884,5.6967864
11.978,5.7482896
12.027,5.7253838
12.094,5.755283
12.128,5.720306
12.122,5.6904664
12.076,5.63008
12.006,5.550865
11.984,5.509368
11.963,5.4459543
12.027,5.443255
12.054,5.3997746
11.987,5.366059
11.945,5.3080883
11.893,5.2746077
11.905,5.2505627
11.996,5.2638865
11.981,5.2567987
11.923,5.2407374
11.975,5.254691
12.051,5.233347
12.021,5.256656
11.838,5.1526318
11.871,5.2032666
11.908,5.156452
11.954,5.274064
12.0,5.260058
12.103,5.3986797
12.173,5.383651
12.241,5.48913
12.079,5.3970523
11.969,5.4420924
11.96,5.417192
12.082,5.544503
12.219,5.651851
12.363,5.7736955
12.454,5.8954406
12.393,5.8955245
12.393,5.9719586
12.317,5.882448
12.247,5.9210777
12.06,5.773642
11.868,5.80388
11.829,5.7152348
12.109,5.8619533
12.091,5.786772
11.838,5.7384706
11.465,5.556545
11.258,5.413948
11.209,5.401097
11.063,5.264368
11.169,5.3907104
11.038,5.2195716
10.904,5.3084598
10.73,5.093627
10.684,5.1381474
10.412,4.9318247
10.15,4.906058
10.08,4.8050857
10.175,4.8611503
10.101,4.867237
9.903,4.8814297
9.796,4.9557557
9.946,5.0966563
10.257,5.3902063
10.461,5.598355
10.525,5.8472757
10.534,5.9589643
10.751,6.1335797
10.76,6.1982174
10.434,6.1346526
10.263,6.1331687
10.107,6.0238757
10.174,6.1272383
10.226,6.0200624
10.293,6.0214806
9.771,5.703001
9.051,5.3943253
8.694,5.104829
8.588,4.947576
8.728,4.918638
8.737,4.8465548
8.45,4.7435207
8.099,4.5784197
7.999,4.467291
7.962,4.4450126
7.925,4.405554
7.989,4.493565
7.947,4.4547276
8.108,4.5716596
8.032,4.5306287
7.907,4.5345144
8.047,4.5504127
7.95,4.5096674
7.962,4.5626407
8.136,4.5336385
8.221,4.58447
8.008,4.475462
7.907,4.471599
7.947,4.4430103
8.172,4.6290402
8.438,4.8065114
8.929,5.1102495
9.201,5.3436365
9.314,5.510521
9.628,5.6929555
9.79,5.7635756
9.839,5.8315926
9.906,5.796074
9.863,5.746038
9.866,5.673321
9.888,5.58651
9.854,5.5117717
9.811,5.415031
9.875,5.3970575
9.924,5.358841
10.144,5.409802
10.242,5.4162946
10.251,5.399076
10.33,5.4160185
10.312,5.3574367
10.431,5.427391
10.608,5.4007235
10.745,5.4815454
10.699,5.4041367
10.705,5.423429
10.739,5.374756
10.849,5.4252567
10.995,5.4559827
11.05,5.507746
11.163,5.5634346
11.307,5.6369185
11.429,5.6987214
11.563,5.7620244
11.587,5.7768607
11.572,5.7869797
11.624,5.798444
11.682,5.825281
11.767,5.859235
11.877,5.8912964
11.899,5.892722
11.862,5.861222
11.795,5.812215
11.771,5.741341
11.746,5.6967254
11.615,5.5907526
11.56,5.544325
11.517,5.471117
11.505,5.4450397
11.484,5.423882
11.435,5.375125
11.502,5.401286
11.401,5.3239355
11.307,5.34262
11.264,5.279546
11.392,5.3656216
11.432,5.3433447
11.346,5.39767
11.224,5.3341823
11.374,5.426666
11.352,5.413886
11.368,5.4743695
11.42,5.4618344
11.264,5.4556904
11.191,5.4015474
11.319,5.428035
11.157,5.327497
11.078,5.3138046
10.95,5.1725874
10.837,5.1554074
10.745,5.0637217
10.751,5.107939
10.742,5.1009502
10.931,5.2203674
10.989,5.252684
10.947,5.3002396
10.953,5.281058
10.901,5.2690454
10.76,5.2032084
10.715,5.1918125
10.69,5.1553774
10.812,5.2052298
10.825,5.1976433
10.739,5.1879253
10.727,5.16421
10.666,5.143333
