true_value,predict
1.129,1.3155067
0.43,0.9063233
0.485,0.78601277
0.878,0.67963195
1.263,0.69950294
1.476,1.1043164
1.62,1.2483633
1.721,1.6100161
1.815,1.7595532
2.004,1.9261799
2.203,2.1474273
2.407,2.2640638
2.551,2.4588616
2.557,2.5601413
2.389,2.5471988
2.377,2.5693288
2.511,2.551232
2.648,2.5699496
2.856,2.7352633
3.07,2.8726544
3.271,3.0812507
3.353,3.2668786
3.414,3.3727589
3.491,3.521379
3.585,3.5800233
3.732,3.7054212
3.976,3.8716233
4.208,4.0392895
4.367,4.2477126
4.464,4.427971
4.495,4.5303664
4.577,4.642647
4.614,4.6581316
4.574,4.6537805
4.431,4.5998654
4.26,4.4478703
4.098,4.316785
3.973,4.117758
3.897,3.9843774
3.842,3.8843937
3.842,3.8018203
3.866,3.8216796
3.903,3.8022723
3.906,3.833214
3.857,3.840717
3.701,3.7597418
3.625,3.7333562
3.549,3.6277282
3.622,3.5843472
3.701,3.6214402
3.674,3.585649
3.665,3.675681
3.744,3.6947958
3.82,3.7541268
3.9,3.82854
3.961,3.8854542
3.912,3.9161072
3.817,3.891654
3.765,3.8517501
3.708,3.7728622
3.704,3.7335908
3.765,3.743956
3.982,3.8183396
4.238,3.999412
4.449,4.192941
4.605,4.437229
4.791,4.6532826
4.913,4.835542
5.044,4.995007
5.133,5.1334677
5.233,5.231423
5.352,5.344327
5.468,5.4277053
5.45,5.4840035
5.471,5.5196915
5.499,5.5431433
5.48,5.522358
5.505,5.545722
5.612,5.5816627
5.746,5.649497
5.883,5.748454
5.99,5.8772664
5.978,5.9393606
5.978,6.037215
6.161,6.1187425
6.42,6.228487
6.515,6.398982
6.515,6.4700246
6.674,6.6501136
6.732,6.704914
6.781,6.7555137
6.948,6.929294
6.985,6.9099236
7.028,7.0365434
7.095,7.0957413
7.129,7.0915756
7.122,7.1727185
7.156,7.1465573
7.18,7.181141
7.183,7.1903353
7.211,7.1995444
7.309,7.2479596
7.385,7.294026
7.376,7.3195305
7.379,7.3765087
7.455,7.400791
7.516,7.436137
7.562,7.5255785
7.66,7.5978684
7.986,7.799182
8.276,8.00284
8.41,8.192402
8.416,8.388374
8.282,8.381342
8.123,8.348981
7.992,8.215614
7.928,8.070309
7.876,7.95466
7.834,7.8215537
7.58,7.6748714
7.254,7.4511266
7.003,7.221027
6.869,6.9830766
6.784,6.792882
6.805,6.7123747
6.842,6.6777925
6.848,6.678048
6.823,6.7282
6.762,6.7092295
6.787,6.7529426
6.884,6.786403
6.988,6.8284807
7.009,6.9316278
7.019,6.9473886
7.037,7.01795
7.003,7.0181465
7.031,7.0085444
7.125,7.075652
7.098,7.045787
7.116,7.086691
7.18,7.1550627
7.205,7.124613
7.29,7.239632
7.373,7.284486
7.394,7.318476
7.483,7.440092
7.476,7.42982
7.458,7.4729176
7.476,7.519329
7.568,7.483368
7.599,7.5586376
7.504,7.5093093
7.388,7.4730673
7.4,7.458665
7.4,7.3657737
7.397,7.367799
7.437,7.3873196
7.501,7.360523
7.461,7.45572
7.458,7.4364758
7.702,7.5614123
7.934,7.7198787
7.943,7.764073
8.008,7.9875054
8.011,7.9882464
7.983,7.9756227
7.904,8.04051
7.751,7.8425856
7.864,7.9179263
8.001,7.8698215
7.937,7.821401
7.815,7.90484
7.705,7.7575307
7.708,7.7713075
7.818,7.744949
7.882,7.7319813
7.84,7.8076105
7.785,7.744011
7.733,7.7502794
7.525,7.617668
7.367,7.5009
7.388,7.4465785
7.486,7.373009
7.626,7.4561367
7.733,7.5275407
7.724,7.61115
7.623,7.6368093
7.547,7.608758
7.455,7.5439734
7.36,7.4280186
7.296,7.3711514
7.229,7.248168
7.199,7.193488
7.064,7.09498
6.896,6.9404964
6.698,6.822021
6.442,6.573224
6.234,6.392595
6.21,6.247053
6.234,6.1134415
6.234,6.105928
6.133,6.047489
5.999,5.9927025
5.853,5.927901
5.712,5.775504
5.697,5.7237616
5.676,5.6217904
5.575,5.5463915
5.416,5.47381
5.236,5.3148613
5.029,5.164144
4.815,4.940003
4.611,4.74121
4.394,4.513949
4.248,4.309
4.068,4.1275277
3.857,3.9219925
3.714,3.786376
3.686,3.6519601
3.637,3.5594647
3.555,3.5065637
3.463,3.4475198
3.433,3.4272008
3.476,3.4156687
3.567,3.440451
3.604,3.4916213
3.509,3.4922202
3.427,3.500185
3.39,3.453379
3.375,3.400073
3.305,3.3522706
3.244,3.2771814
3.18,3.2283595
3.07,3.12552
2.981,3.061893
2.96,2.9968593
3.027,2.9879348
3.161,3.0290813
3.296,3.1286745
3.387,3.2446997
3.424,3.355644
3.531,3.4840975
3.665,3.566482
3.738,3.673561
3.671,3.7199273
3.744,3.7451212
3.735,3.7977812
3.613,3.7028663
3.644,3.7585616
3.802,3.7565916
3.833,3.7174134
3.711,3.7666962
3.378,3.6080601
3.155,3.4456863
3.177,3.355075
3.122,3.1096592
3.085,3.1273315
3.1,3.0275946
2.957,2.9411812
2.737,2.8888304
2.585,2.6764534
2.548,2.6752958
2.475,2.5621011
3.021,2.744153
3.741,3.1373296
3.973,3.3549342
3.796,3.792928
3.665,3.8435166
3.607,3.8453825
3.567,3.7783532
3.457,3.5889928
3.363,3.531922
3.225,3.339444
3.045,3.2034402
2.887,3.1228902
3.009,3.0146348
3.473,3.18592
3.613,3.24406
3.384,3.3469017
3.085,3.3483934
2.878,3.150301
2.673,2.9673715
2.523,2.727826
2.523,2.5994568
2.511,2.4859107
2.453,2.447556
2.423,2.429739
2.572,2.4548326
