true_value,predict
9.463,9.398697
9.155,9.287321
8.801,8.750132
8.389,8.501396
7.992,8.152676
7.58,7.68565
7.116,7.4067984
6.665,6.86942
6.341,6.583736
6.128,6.3058224
5.926,5.9417768
5.658,5.814144
5.319,5.369936
4.986,5.1156416
4.614,4.819742
4.245,4.3537374
4.058,4.296851
3.888,3.9405062
3.805,3.8276966
3.738,3.8645065
3.613,3.5728326
3.555,3.8167186
3.689,3.7714307
4.458,4.0891404
4.968,4.7710586
4.568,4.385166
4.47,4.6280713
4.528,4.7234464
4.483,4.3964224
4.974,4.9533772
5.069,4.8954897
4.785,4.7831945
4.779,4.977347
4.861,4.8340626
4.937,4.9847198
5.203,5.198916
5.597,5.483422
5.789,5.7639723
6.024,6.0638986
6.448,6.5285363
7.138,7.0302978
7.983,7.778255
8.23,8.160805
8.624,8.519449
9.024,8.993738
9.378,9.152935
9.463,9.394857
9.649,9.595297
9.808,9.722593
9.939,9.930081
10.007,10.049127
10.177,10.221726
10.516,10.535446
10.788,10.746877
11.004,10.962118
11.151,11.156539
11.194,11.1228485
11.206,11.190858
11.114,11.132005
11.044,11.054801
11.154,11.215809
11.301,11.257587
11.496,11.440314
11.63,11.633246
11.7,11.6638
11.844,11.888231
12.097,12.0293045
12.262,12.185588
12.411,12.370316
12.46,12.3752165
12.463,12.455248
12.466,12.384309
12.402,12.349199
12.305,12.3397455
12.14,12.188112
12.427,12.413549
12.564,12.474109
12.585,12.484742
12.512,12.557923
12.408,12.368981
12.36,12.383511
12.299,12.294317
12.408,12.374703
12.567,12.497804
12.686,12.508013
12.57,12.561802
12.268,12.320825
12.378,12.388752
12.616,12.513888
12.744,12.555986
12.729,12.736028
12.753,12.679773
12.808,12.759917
12.781,12.712246
12.762,12.663451
12.735,12.726574
12.631,12.532225
12.579,12.545545
12.43,12.415114
12.323,12.2382965
12.253,12.2794075
12.124,12.064473
12.152,12.108494
12.198,12.185027
12.25,12.123561
12.387,12.350181
12.503,12.390671
12.591,12.473545
12.768,12.68207
12.915,12.71986
12.97,12.856076
12.961,12.908594
13.028,12.938248
13.202,13.118735
13.293,13.108676
13.159,13.057652
12.833,12.845031
12.485,12.4724045
12.231,12.246459
11.862,11.885993
11.52,11.563121
11.358,11.3946
11.127,11.08496
10.818,10.853
10.644,10.722037
10.544,10.58553
10.467,10.492873
10.428,10.433228
10.498,10.464193
10.464,10.410968
10.461,10.358756
10.376,10.316043
10.22,10.133303
10.071,10.046064
9.964,9.950612
9.915,9.88574
9.921,9.882455
9.878,9.822658
9.765,9.709023
9.64,9.601475
9.521,9.497389
9.381,9.433928
9.497,9.552648
9.888,9.83797
10.3,10.158176
10.531,10.38078
10.592,10.454877
10.577,10.477303
10.449,10.374097
10.48,10.403391
10.504,10.480864
10.589,10.482279
10.663,10.652406
10.724,10.666736
10.638,10.625199
10.617,10.634043
10.599,10.571532
10.629,10.606819
10.592,10.583633
10.519,10.501025
10.516,10.503225
10.431,10.4022
10.361,10.3369465
10.211,10.228149
10.086,10.061682
9.945,9.986641
9.833,9.824705
9.762,9.76539
9.625,9.66049
9.482,9.517611
9.421,9.475515
9.405,9.3887615
9.323,9.286716
9.118,9.1345005
8.893,8.918811
8.716,8.7793865
8.685,8.706536
8.697,8.700861
8.752,8.760861
8.825,8.825857
8.957,8.932749
9.118,9.063671
9.179,9.114364
9.241,9.171973
9.231,9.170615
9.179,9.13851
9.115,9.11665
9.17,9.139102
9.231,9.19862
9.253,9.189967
9.234,9.204332
9.17,9.157343
9.146,9.119405
9.189,9.194531
9.247,9.229824
9.375,9.368923
9.561,9.530448
9.72,9.609703
9.738,9.667001
9.585,9.531797
9.378,9.360324
9.195,9.216751
9.002,8.97904
8.825,8.84913
8.584,8.64901
8.368,8.45116
8.346,8.443574
8.392,8.421184
8.529,8.525679
8.682,8.677043
8.838,8.7638035
8.951,8.905964
9.018,8.954636
9.073,9.030497
9.189,9.143311
9.344,9.266656
9.497,9.423812
9.628,9.546668
9.75,9.665297
9.823,9.755503
9.909,9.826827
9.988,9.927855
10.037,9.965696
10.058,9.995588
10.016,9.9895
9.955,9.929226
9.897,9.890432
9.829,9.831161
9.744,9.72185
9.662,9.653294
9.503,9.504181
9.301,9.347294
9.244,9.314129
9.277,9.312009
9.439,9.430591
9.628,9.61316
9.836,9.784796
10.04,10.022787
10.272,10.2455
10.586,10.513952
10.843,10.748003
11.026,10.876019
11.084,10.987337
11.029,10.973425
10.989,10.926118
11.056,11.029026
11.16,11.082676
11.264,11.216549
11.484,11.454971
11.67,11.60137
11.966,11.887055
12.25,12.131214
12.427,12.289176
12.573,12.489055
12.689,12.518523
12.759,12.599642
12.494,12.470371
12.317,12.325124
12.463,12.431688
12.628,12.425202
12.5,12.418911
12.234,12.31866
12.186,12.226133
12.366,12.299469
12.366,12.269863
12.237,12.192003
12.094,12.052358
11.88,11.786873
11.386,11.375386
10.904,10.990916
10.66,10.749453
10.614,10.672554
10.904,10.848904
11.075,11.010271
11.029,10.986011
10.788,10.81653
10.708,10.674005
10.605,10.546394
10.449,10.297733
10.168,10.1154
9.79,9.750188
9.475,9.544609
9.463,9.519419
9.598,9.57838
9.915,9.909228
10.019,10.112975
10.577,10.486718
11.334,11.03082
