true_value,predict
10.736,10.7814865
10.593,10.428396
10.361,10.2742605
9.894,9.9721155
9.524,9.5952835
9.079,9.29958
9.222,9.122321
9.46,9.317917
9.338,9.404346
9.32,9.371098
9.366,9.369585
9.21,9.289553
8.951,9.073987
8.774,8.826807
8.584,8.612812
8.392,8.387657
8.298,8.23129
8.087,8.115649
8.087,7.9889793
8.05,7.9799724
7.971,7.9369164
7.867,7.9154058
8.023,7.8861628
8.008,7.9511514
7.849,7.8520055
7.498,7.678916
7.501,7.4647417
7.58,7.473048
7.501,7.4622188
7.318,7.37237
7.281,7.2421227
7.107,7.172817
7.181,7.070633
6.976,7.0828285
6.979,6.958873
7.208,7.053911
7.107,7.1360016
7.074,7.094835
7.199,7.1216187
7.193,7.160075
7.132,7.1024656
6.97,6.9880857
6.82,6.796296
6.582,6.6236587
6.347,6.3551207
6.146,6.1644483
6.134,5.993707
5.865,5.87884
5.49,5.5820484
5.304,5.3004813
5.063,5.075609
4.907,4.8494534
4.73,4.685347
4.657,4.541759
4.577,4.4671383
4.391,4.377953
4.342,4.26132
4.416,4.248868
4.312,4.231745
4.098,4.092184
3.97,3.8834226
3.872,3.6936216
3.531,3.4362705
2.963,2.9889252
2.618,2.4659302
2.172,2.1319628
1.879,1.7233322
1.529,1.4654932
1.284,1.2169998
1.452,1.228167
1.586,1.4865334
1.898,1.7699096
2.322,2.2179074
2.755,2.6892169
3.237,3.201236
3.891,3.6819417
4.22,4.1377916
4.235,4.315262
4.48,4.3258967
4.458,4.39198
4.266,4.272803
4.205,4.186458
4.489,4.2796288
4.788,4.6088924
5.139,4.9270105
5.401,5.231303
5.404,5.3797526
5.279,5.355039
5.2,5.2535214
5.203,5.1677217
5.282,5.0508842
5.069,4.9612575
4.492,4.550474
3.882,4.054082
3.497,3.7698374
3.909,3.9887702
5.398,4.921495
6.915,6.2968655
7.455,7.158993
7.275,7.4060774
6.869,7.206238
6.711,7.0360546
6.964,7.1945696
8.389,7.8352456
9.491,8.982802
9.488,9.594052
9.549,9.685428
9.842,9.844322
9.884,10.017085
10.19,10.157963
10.522,10.449705
10.919,10.755222
11.224,11.11105
11.374,11.3638315
11.651,11.583173
11.798,11.795603
12.091,11.93804
12.216,11.995969
12.167,11.890665
12.158,11.694397
12.042,11.419343
10.632,10.908699
9.402,9.537914
8.465,8.340768
6.976,7.199995
5.542,5.8394117
4.763,4.849256
4.565,4.367997
4.602,4.3865757
4.769,4.5321074
4.959,4.7707024
4.998,4.944019
4.754,4.944665
4.678,4.9373927
4.995,5.2897987
5.511,6.0710297
9.219,7.5957108
10.827,10.072336
11.181,11.108631
11.499,11.415106
11.508,11.512332
11.407,11.434102
11.041,11.07296
10.66,10.519829
10.287,10.025789
10.107,9.947489
10.165,9.934749
10.174,10.065985
10.303,10.197405
10.62,10.440277
10.843,10.717209
10.708,10.89571
10.675,10.886702
11.026,10.975767
11.069,11.136385
10.904,11.07022
10.849,10.959338
11.065,10.922933
10.977,10.9359665
10.696,10.748375
10.486,10.524932
10.385,10.348341
10.507,10.299708
10.373,10.318964
10.132,10.194732
10.046,10.105329
10.321,10.147178
10.373,10.322876
10.119,10.303157
10.733,10.317308
10.29,10.539466
10.22,10.21543
10.156,10.241134
10.269,10.167855
10.296,10.27418
10.284,10.289844
10.419,10.363716
10.562,10.486894
10.617,10.544895
10.657,10.542355
10.336,10.438362
10.089,10.153242
10.028,10.012826
10.007,9.944409
10.019,9.907529
9.964,9.864301
9.732,9.75256
9.57,9.577292
9.427,9.447959
9.32,9.303036
9.28,9.203481
9.051,9.073726
8.841,8.82304
8.618,8.564232
8.282,8.262084
7.962,7.950688
7.776,7.6888876
7.525,7.501277
7.452,7.3251047
7.361,7.273814
7.284,7.178095
7.071,7.0809083
7.022,6.910876
6.793,6.7954187
6.619,6.555068
6.381,6.3592215
6.192,6.0977926
5.978,5.9145107
5.755,5.688539
5.673,5.520886
5.38,5.4282613
5.2,5.3202634
5.606,5.4889565
6.298,6.030096
6.68,6.6109476
7.104,6.972728
7.278,7.257219
7.058,7.256069
7.058,7.114087
7.092,7.109203
7.211,7.1664615
7.397,7.3254867
7.577,7.547083
8.313,7.8774753
8.383,8.350732
8.343,8.379249
8.539,8.51655
8.825,8.718501
9.024,8.952245
9.048,9.095012
9.143,9.157743
9.317,9.282404
9.375,9.384486
9.302,9.385844
9.289,9.310052
9.237,9.222993
8.923,9.028203
8.633,8.738589
8.343,8.456603
8.175,8.199815
7.986,8.039324
7.953,7.9128685
7.925,7.8940425
7.934,7.8813767
7.901,7.90563
7.977,7.966327
7.861,8.055683
8.139,8.154245
8.706,8.488553
8.999,8.739162
8.682,8.654716
8.74,8.0608
6.512,7.163847
3.445,5.0325265
4.653,3.7709782
5.166,4.6171923
4.965,4.863551
5.136,5.150158
5.368,5.3226705
5.987,5.7791786
6.112,6.242894
6.231,6.2917805
6.274,6.338122
6.079,6.2155266
5.957,6.0299783
6.006,5.8931
5.633,5.748665
5.703,5.4940577
5.569,5.4590516
5.053,5.1503124
5.175,4.8969655
5.096,4.8955207
4.629,4.718503
4.596,4.4872694
4.742,4.498947
4.586,4.474171
4.251,4.239677
3.842,3.8797112
3.506,3.496169
3.308,3.1758213
3.07,2.9475536
2.703,2.680795
2.374,2.378608
2.285,2.1712456
2.371,2.1219888
2.258,2.106241
2.16,1.9761907
1.602,1.8117807
