true_value,predict
4.617,4.7697387
4.306,4.7092714
4.406,4.6245174
4.138,4.5728855
3.61,4.4908495
3.296,4.3778973
3.32,4.2940516
3.753,4.2636194
3.848,4.27192
3.506,4.232808
3.399,4.138866
3.228,4.064978
3.216,3.999427
3.125,3.9430063
3.152,3.878749
3.326,3.8232827
3.424,3.783139
3.363,3.7305422
3.421,3.6595826
3.524,3.6078732
3.097,3.5598319
2.984,3.4607341
2.899,3.387793
2.877,3.3392806
2.853,3.2927434
2.966,3.2375255
3.17,3.2304971
3.295,3.333094
3.781,3.4169211
3.186,3.5089579
3.271,3.3400834
3.491,3.3609934
3.814,3.5308886
3.933,3.7094455
4.071,3.8088455
4.119,3.895752
3.604,3.9298067
3.485,3.8197603
3.518,3.8359265
3.598,3.9274538
3.726,3.9918547
4.004,4.0250115
3.573,3.9993613
3.738,3.7687356
3.823,3.6807113
3.79,3.5909138
3.665,3.3777905
3.54,3.1778429
3.283,3.0896416
2.945,3.1024482
2.383,3.1034393
2.31,3.1010392
1.876,3.1637878
1.727,3.2197583
1.44,3.2863703
1.208,3.3474731
0.564,3.3949823
0.39,3.401205
0.604,3.462027
1.184,3.5992565
1.507,3.7651951
2.142,3.893376
2.313,4.031364
2.468,4.1351285
2.661,4.2385373
2.893,4.3663096
3.097,4.509104
3.192,4.6470504
3.289,4.7704916
3.555,4.8935795
3.726,5.03024
4.184,5.162726
4.492,5.3172565
4.516,5.4546466
4.458,5.558013
4.525,5.6526656
5.011,5.774341
5.539,5.9470277
5.926,6.135715
6.262,6.313128
6.68,6.490535
6.759,6.8168206
6.866,7.0859966
7.177,7.3614473
7.446,7.6715736
8.194,8.019388
8.804,8.461678
9.128,8.838409
9.259,9.088035
9.54,9.278798
9.729,9.507133
9.778,9.711489
9.845,9.875586
9.881,10.028014
10.122,10.174891
10.238,10.349767
10.428,10.485162
10.696,10.621234
10.742,10.751333
10.611,10.7990675
10.766,10.812706
11.127,10.917651
11.279,11.078835
11.441,11.189119
11.444,11.282066
11.444,11.3109
11.398,11.332836
11.371,11.34432
11.374,11.356358
11.511,11.37385
11.383,11.394196
11.42,11.349331
11.478,11.336128
11.478,11.33018
11.673,11.325008
11.624,11.353174
11.328,11.303102
11.008,11.16236
10.632,11.039141
10.87,10.941613
11.255,10.988539
11.349,11.073185
11.343,11.051809
11.197,11.055456
11.212,11.053506
10.809,11.051509
10.559,11.026553
10.614,11.000891
10.745,10.999365
10.986,11.016659
11.035,11.043618
10.818,11.053511
10.455,11.0303
10.321,10.983359
10.324,10.946123
10.483,10.926175
10.769,10.922555
10.84,10.925743
11.041,10.915709
11.004,10.901759
11.27,10.881341
11.136,10.878055
10.657,10.848758
10.586,10.786263
10.592,10.739366
10.721,10.718484
10.763,10.735511
10.928,10.740721
10.87,10.7384
10.675,10.658192
10.361,10.572948
10.37,10.506449
10.373,10.461088
10.373,10.429334
10.339,10.398523
10.373,10.362665
10.275,10.325465
10.147,10.278296
10.153,10.226422
10.0,10.1800995
9.903,10.126421
9.894,10.058549
9.848,9.997068
10.013,9.939453
9.817,9.892002
9.93,9.82077
9.933,9.821632
9.698,9.832158
9.796,9.791645
9.729,9.837596
10.077,9.895169
10.254,10.045514
10.321,10.176758
10.345,10.26113
10.013,10.307996
10.126,10.287685
10.11,10.36046
10.388,10.41384
10.449,10.487907
10.574,10.477539
10.724,10.438724
10.504,10.351157
10.238,10.133205
10.223,9.8993
10.205,9.730339
9.811,9.529807
9.546,9.179151
8.905,8.88957
8.178,8.691731
7.855,8.583361
7.754,8.520164
7.651,8.500219
7.321,8.486375
7.059,8.447542
6.686,8.402663
6.503,8.357165
6.46,8.33823
6.695,8.352955
6.82,8.401809
6.952,8.448031
7.174,8.48898
7.187,8.531233
7.394,8.562283
7.718,8.611221
8.102,8.687229
8.117,8.772228
8.212,8.825697
8.304,8.872822
8.255,8.923623
8.331,8.96909
8.297,9.021545
8.215,9.063822
8.288,9.097646
8.41,9.143293
8.471,9.201267
8.325,9.253341
8.069,9.281436
8.188,9.302939
8.352,9.371145
8.05,9.463326
7.867,9.519422
7.892,9.568468
8.038,9.644789
8.081,9.741289
8.273,9.827938
8.554,9.911557
8.755,9.993249
9.323,10.069904
9.778,10.153328
10.538,10.246237
10.678,10.355255
10.803,10.551348
11.139,10.876477
11.133,11.208076
11.426,11.545452
11.316,11.882578
11.85,12.141165
12.488,12.492521
12.945,12.830197
13.119,13.049202
13.51,13.1733055
14.139,13.330727
14.243,13.505924
13.892,13.528257
13.766,13.451671
13.965,13.43889
13.748,13.484859
13.541,13.441809
13.321,13.394553
13.107,13.332699
13.202,13.288637
13.122,13.303106
12.665,13.25883
12.408,13.123625
13.138,13.079734
13.489,13.221841
13.26,13.218631
12.933,13.008506
12.482,12.687344
11.819,12.245274
12.244,11.763157
13.382,11.55554
13.516,11.441083
12.552,11.016408
9.314,10.260903
10.043,9.893159
8.697,9.776072
7.727,9.676851
6.534,9.550602
5.31,9.370262
5.252,9.167767
4.351,9.030094
5.023,8.865499
6.936,8.836577
6.878,8.936524
7.968,8.934204
6.778,8.924569
7.01,8.77852
5.987,8.696652
5.774,8.5854025
7.577,8.575215
9.689,8.804051
10.724,9.1325865
7.467,9.41182
6.894,8.845591
4.028,8.494818
9.463,8.237275
12.857,9.158693
