true_value,predict
7.721,7.683451
8.008,7.874891
8.197,8.101104
8.142,8.235864
8.16,8.244318
8.124,8.233107
8.188,8.205518
8.194,8.181598
8.206,8.131286
8.014,8.051475
7.922,7.931812
7.864,7.8682075
7.925,7.862279
7.989,7.9017057
7.849,7.916503
7.821,7.880198
7.931,7.9072394
8.041,8.018028
8.148,8.134114
8.246,8.240144
8.34,8.340886
8.56,8.470024
8.74,8.648335
8.777,8.805428
8.81,8.8956375
8.804,8.970355
9.06,9.061199
9.35,9.221358
9.311,9.31512
9.097,9.220145
9.063,9.061219
9.076,9.002201
9.146,9.008812
9.097,9.044209
9.082,9.074811
9.234,9.159034
9.36,9.308814
9.115,9.381187
9.353,9.322989
9.326,9.326423
9.149,9.211895
8.996,9.0022335
8.926,8.837586
8.783,8.75094
8.929,8.740806
9.073,8.879581
9.405,9.102192
9.497,9.372567
9.533,9.574178
9.689,9.754017
9.881,9.974831
10.132,10.190622
10.202,10.338644
10.324,10.376253
10.461,10.381574
10.437,10.369907
10.3,10.302429
10.272,10.253503
10.47,10.335105
10.62,10.561014
10.931,10.839736
11.337,11.182757
11.438,11.499126
11.423,11.638334
11.404,11.657499
11.566,11.659913
11.554,11.6522455
11.481,11.5382
11.404,11.3616495
11.334,11.202169
11.169,11.070726
11.066,10.971177
11.072,10.958223
11.16,11.054237
11.31,11.225262
11.523,11.439624
11.78,11.664911
11.822,11.845767
11.88,11.913246
11.938,11.941976
12.048,11.95961
12.03,11.960626
12.118,11.934829
12.109,11.952275
12.314,12.010786
12.182,12.121992
12.057,12.151885
12.179,12.203156
12.533,12.391127
12.756,12.648
12.909,12.818245
12.631,12.856316
12.451,12.75187
12.598,12.741277
13.046,12.934048
13.437,13.226069
13.006,13.351227
12.646,13.171725
12.964,13.103992
13.217,13.325763
13.232,13.48148
13.159,13.44652
13.177,13.349092
13.241,13.300116
13.287,13.279479
13.373,13.2622175
13.354,13.247769
13.29,13.214307
13.077,13.148143
12.906,13.034441
12.781,12.906177
12.71,12.738863
12.442,12.421368
11.523,11.804978
10.101,10.792047
10.342,9.818195
9.772,9.508838
8.826,9.176154
8.899,8.920828
8.365,8.899702
8.383,9.0277195
9.616,9.42298
10.333,10.107992
10.123,10.514379
10.333,10.4972
10.437,10.565448
10.788,10.760832
10.821,10.907618
11.139,10.900737
11.374,10.875654
11.075,10.758928
10.574,10.486651
10.855,10.318461
10.266,10.45828
10.745,10.640745
11.072,11.13997
11.868,11.806452
12.366,12.479278
12.527,12.84128
12.378,12.825419
12.234,12.582219
12.369,12.33251
12.286,12.16785
11.926,11.974516
11.697,11.791741
11.853,11.818892
11.941,12.054068
12.213,12.275375
12.216,12.355255
11.758,12.133257
11.358,11.645851
11.093,11.192205
10.663,10.840417
10.431,10.565248
10.605,10.506911
10.94,10.718178
11.236,11.042746
11.3,11.293291
11.34,11.3602495
11.041,11.27456
10.724,11.011987
10.611,10.729774
10.559,10.531633
10.449,10.357731
10.077,10.120357
9.881,9.819944
9.619,9.575952
9.488,9.363002
9.186,9.1638775
8.862,8.921949
8.478,8.669232
8.542,8.491326
8.539,8.466972
8.484,8.425722
8.392,8.304439
8.151,8.130126
7.95,7.901845
7.672,7.679394
7.635,7.4742913
7.507,7.3351326
7.361,7.164962
6.949,6.928323
6.619,6.606844
6.35,6.3119726
6.088,6.041467
5.801,5.749228
5.481,5.4243426
5.291,5.1192436
5.121,4.8927784
4.837,4.721303
4.44,4.5516744
4.422,4.4436345
4.779,4.54202
4.583,4.7311893
4.995,4.7799463
4.828,4.8675323
4.589,4.7616005
4.431,4.5727644
4.257,4.4299912
4.33,4.335395
4.477,4.336597
4.388,4.3546276
4.324,4.2848787
4.074,4.189294
3.933,4.047789
3.817,3.925209
3.717,3.7958913
3.61,3.6364381
3.399,3.4255655
2.853,3.1232314
2.655,2.7381
2.395,2.4588523
2.06,2.169054
2.078,1.8722322
1.858,1.6457813
1.464,1.3573475
1.394,1.0575539
1.181,0.9082012
0.823,0.7811063
0.692,0.68411845
0.869,0.7324679
0.817,0.88780236
0.936,0.9547951
0.967,0.96073306
0.885,0.83594096
0.573,0.56340104
0.524,0.21613097
0.527,0.028584719
0.286,-0.018513918
0.643,0.12949365
0.973,0.63164747
0.833,1.2814187
2.069,1.9787847
2.429,2.8645954
3.512,3.3744707
2.902,3.5339966
3.173,3.1022687
1.986,2.5966196
1.565,1.8944848
1.91,1.8414227
2.227,2.0103288
2.649,2.2129343
3.296,2.7721574
3.241,3.375476
2.966,3.6504583
3.485,3.743415
3.204,3.8691964
3.329,3.671773
3.271,3.3815885
3.045,2.984983
2.581,2.4656909
2.578,2.0147057
2.349,1.7814393
1.403,1.5693865
1.693,1.4310061
1.77,1.7926664
2.166,2.374107
2.471,2.9602356
3.167,3.3612185
3.271,3.5432348
3.65,3.3547797
3.451,3.003998
3.47,2.7493196
3.247,3.1177754
3.256,3.4213834
3.466,3.6350164
4.489,4.170781
6.066,5.785203
7.415,7.2927504
7.364,7.633466
5.996,7.0084577
4.922,5.7114096
3.326,4.129302
2.801,3.3989048
2.469,3.3881855
3.512,3.511404
4.757,3.853672
3.906,4.2063136
4.159,4.5648336
5.2,5.977333
8.422,7.7624865
8.334,9.01763
6.943,8.728824
7.129,7.849346
6.494,7.261913
6.915,6.5961943
6.53,6.518732
6.695,6.5924196
