true_value,predict
7.721,7.667904
8.008,7.871617
8.197,8.087525
8.142,8.206541
8.16,8.209317
8.124,8.210787
8.188,8.180829
8.194,8.174343
8.206,8.112001
8.014,8.022496
7.922,7.8925257
7.864,7.8368063
7.925,7.8253317
7.989,7.871398
7.849,7.8725114
7.821,7.8387637
7.931,7.8850555
8.041,7.9952083
8.148,8.100835
8.246,8.205015
8.34,8.298984
8.56,8.434616
8.74,8.621297
8.777,8.763138
8.81,8.847439
8.804,8.929051
9.06,9.019732
9.35,9.19534
9.311,9.26945
9.097,9.157529
9.063,9.001862
9.076,8.9535885
9.146,8.95728
9.097,8.999724
9.082,9.0273905
9.234,9.120036
9.36,9.26533
9.115,9.302895
9.353,9.24739
9.326,9.289033
9.149,9.123944
8.996,8.940928
8.926,8.76735
8.783,8.673133
8.929,8.659308
9.073,8.81599
9.405,9.024957
9.497,9.29919
9.533,9.475304
9.689,9.676718
9.881,9.894738
10.132,10.120339
10.202,10.259287
10.324,10.2734375
10.461,10.294163
10.437,10.292083
10.3,10.201937
10.272,10.163447
10.47,10.266776
10.62,10.497305
10.931,10.774099
11.337,11.139749
11.438,11.435702
11.423,11.561272
11.404,11.608416
11.566,11.626524
11.554,11.615595
11.481,11.487531
11.404,11.342478
11.334,11.173695
11.169,11.02253
11.066,10.92569
11.072,10.929348
11.16,11.036425
11.31,11.213523
11.523,11.434922
11.78,11.661323
11.822,11.832038
11.88,11.899053
11.938,11.939789
12.048,11.956818
12.03,11.962721
12.118,11.92645
12.109,11.949657
12.314,12.001361
12.182,12.123682
12.057,12.127119
12.179,12.215095
12.533,12.429678
12.756,12.685396
12.909,12.848137
12.631,12.895075
12.451,12.77652
12.598,12.804195
13.046,13.005986
13.437,13.291777
13.006,13.37395
12.646,13.178175
12.964,13.180918
13.217,13.410315
13.232,13.529493
13.159,13.500628
13.177,13.410339
13.241,13.366698
13.287,13.339653
13.373,13.326045
13.354,13.313011
13.29,13.27949
13.077,13.2181
12.906,13.102419
12.781,12.980043
12.71,12.785422
12.442,12.472811
11.523,11.826038
10.101,10.833422
10.342,9.983558
9.772,9.539904
8.826,8.939511
8.899,8.530629
8.365,8.449959
8.383,8.459932
9.616,8.933226
10.333,9.674258
10.123,10.2011795
10.333,10.387529
10.437,10.647097
10.788,10.818806
10.821,10.972488
11.139,10.913746
11.374,10.886708
11.075,10.722216
10.574,10.469274
10.855,10.344201
10.266,10.481369
10.745,10.634511
11.072,11.21402
11.868,11.815776
12.366,12.484854
12.527,12.812091
12.378,12.8135
12.234,12.581944
12.369,12.3418665
12.286,12.184734
11.926,11.964876
11.697,11.800715
11.853,11.84915
11.941,12.085326
12.213,12.259818
12.216,12.343475
11.758,12.118924
11.358,11.619577
11.093,11.205176
10.663,10.8299055
10.431,10.562352
10.605,10.539037
10.94,10.753317
11.236,11.058798
11.3,11.264425
11.34,11.326943
11.041,11.262276
10.724,10.981328
10.611,10.720247
10.559,10.534064
10.449,10.35921
10.077,10.106552
9.881,9.804272
9.619,9.58375
9.488,9.367432
9.186,9.187247
8.862,8.947362
8.478,8.698453
8.542,8.539679
8.539,8.54072
8.484,8.477433
8.392,8.363471
8.151,8.187403
7.95,7.9570994
7.672,7.7434583
7.635,7.526114
7.507,7.400233
7.361,7.209089
6.949,6.9740477
6.619,6.64312
6.35,6.3683953
6.088,6.085038
5.801,5.790298
5.481,5.458089
5.291,5.156296
5.121,4.936784
4.837,4.7624807
4.44,4.583456
4.422,4.4849114
4.779,4.619198
4.583,4.7976327
4.995,4.8114824
4.828,4.9224586
4.589,4.751629
4.431,4.59394
4.257,4.4455175
4.33,4.3663344
4.477,4.3763385
4.388,4.3704104
4.324,4.2768307
4.074,4.184806
3.933,4.0344763
3.817,3.9357624
3.717,3.8016183
3.61,3.6487658
3.399,3.429516
2.853,3.127569
2.655,2.7492766
2.395,2.4998796
2.06,2.171443
2.078,1.896722
1.858,1.6656511
1.464,1.3402982
1.394,1.049962
1.181,0.918792
0.823,0.7621323
0.692,0.6814519
0.869,0.7490465
0.817,0.8944559
0.936,0.9453061
0.967,0.97355866
0.885,0.83791596
0.573,0.5500364
0.524,0.20930389
0.527,0.08105922
0.286,0.041435063
0.643,0.19133592
0.973,0.7178633
0.833,1.3141558
2.069,1.920971
2.429,2.742548
3.512,3.0737624
2.902,3.3177853
3.173,3.0194788
1.986,2.5921574
1.565,1.9045907
1.91,1.7623742
2.227,1.9147322
2.649,2.300672
3.296,2.8165827
3.241,3.338532
2.966,3.5316813
3.485,3.7106361
3.204,3.8068204
3.329,3.6357386
3.271,3.4069943
3.045,2.9594383
2.581,2.4715228
2.578,2.0329957
2.349,1.8197542
1.403,1.5676349
1.693,1.4378805
1.77,1.8591217
2.166,2.3199253
2.471,2.9050977
3.167,3.1926537
3.271,3.4442163
3.65,3.3877482
3.451,3.0969553
3.47,2.8447149
3.247,2.8366547
3.256,2.9719973
3.466,3.4284387
4.489,4.5006914
6.066,5.7319045
7.415,6.3326426
7.364,6.5752735
5.996,6.2002473
4.922,5.389201
3.326,4.02361
2.801,3.0692942
2.469,2.5718386
3.512,2.5460033
4.757,3.243856
3.906,4.244445
4.159,4.934107
5.2,5.9294767
8.422,7.031154
8.334,8.076186
6.943,8.019874
7.129,7.5075674
6.494,7.123713
6.915,6.56575
6.53,6.440466
6.695,6.059392
